Park,latitude,longitude,Visitors_2015,Visitors_2016,Visitors_2017,Visitors_2018,Visitors_2019,Visitors_2020,Visitors_2021
Great Smoky Mountains,35.68,-83.53,10.71,11.31,11.34,11.42,12.55,12.1,14.16
Zion,37.3,-113.05,3.65,4.3,4.5,4.32,4.49,3.59,5.04
Yellowstone,44.6,-110.5,4.1,4.26,4.12,4.12,4.02,3.81,4.86
Grand Canyon,36.06,-112.14,5.52,5.97,6.25,6.38,5.97,2.9,4.53
Rocky Mountain,40.4,-105.58,4.16,4.52,4.44,4.59,4.67,3.31,4.43
Acadia,44.35,-68.21,2.81,3.3,3.51,3.54,3.44,2.67,4.07
Grand Teton,43.73,-110.8,3.15,3.27,3.32,3.49,3.41,3.29,3.89
Yosemite,37.83,-119.5,4.15,5.03,4.34,4.01,4.42,2.27,3.29
Indiana Dunes,41.65,-87.05,1.64,1.7,2.16,1.76,2.13,2.29,3.18
Glacier,48.8,-114,2.37,2.95,3.31,2.97,3.05,1.7,3.08
Joshua Tree,33.79,-115.9,2.03,2.51,2.85,2.94,2.99,2.4,3.06
Olympic,47.97,-123.5,3.26,3.39,3.4,3.1,3.25,2.5,2.72
Cuyahoga Valley,41.24,-81.55,2.28,2.42,2.23,2.1,2.24,2.76,2.58
Hot Springs,34.51,-93.05,1.42,1.54,1.56,1.51,1.47,1.35,2.16
Bryce Canyon,37.57,-112.18,1.75,2.37,2.57,2.68,2.59,1.46,2.1
Arches,38.68,-109.57,1.4,1.59,1.54,1.66,1.66,1.24,1.81
New River Gorge,38.07,-81.08,1.18,1.2,1.17,1.23,1.2,1.05,1.68
Mount Rainer,46.85,-121.75,1.24,1.36,1.42,1.52,1.5,1.16,1.67
Shenandoah,38.53,-78.35,1.32,1.44,1.46,1.26,1.43,1.67,1.59
Capitol Reef,38.2,-111.17,0.94,1.06,1.15,1.23,1.23,0.98,1.41
